product_id,product_name,category,sub_category,brand,unit,mrp,selling_price,discount_pct,shelf_life_days
PR00001,India Gate Sunflower Oil 2kg,Staples & Grains,Sunflower Oil,India Gate,kg,1177.72,1059.95,10,90
PR00002,Johnson's Baby Wipes 1pack,Baby Care,Baby Wipes,Johnson's,pack,1535.32,1228.26,20,336
PR00003,Haldiram's Potato Chips 750g,Snacks & Branded Foods,Potato Chips,Haldiram's,g,1193.98,1014.88,15,227
PR00004,India Gate Sugar 2kg,Staples & Grains,Sugar,India Gate,kg,690.86,690.86,0,29
PR00005,Fresh Potato 500pack,Fruits & Vegetables,Potato,Fresh,pack,497.21,447.49,10,95
PR00006,Patanjali Body Lotion 750g,Personal Care,Body Lotion,Patanjali,g,991.33,892.2,10,119
PR00007,Tata Sampann Sugar 200L,Staples & Grains,Sugar,Tata Sampann,L,473.99,,0,147
PR00008,Real Tea 1000ml,Beverages,Tea,Real,ml,121.75,115.66,5,187
PR00009,India Gate Sugar 1kg,Staples & Grains,Sugar,India Gate,kg,735.96,699.16,5,227
PR00010,Godrej Yummiez French Fries 200g,Frozen Food,French Fries,Godrej Yummiez,g,377.15,358.29,5,115
PR00011,Colgate Soap 250g,Personal Care,Soap,Colgate,g,711.71,711.71,0,140
PR00012,Tata Tea Juice 2L,Beverages,Juice,Tata Tea,L,230.91,184.73,20,345
PR00013,Pampers Baby Wipes 750pack,Baby Care,Baby Wipes,Pampers,pack,942.2,942.2,0,349
PR00014,Harpic Toilet Cleaner 2pack,Household Care,Toilet Cleaner,Harpic,pack,975.03,926.28,5,138
PR00015,Kurkure Biscuits 100g,Snacks & Branded Foods,Biscuits,Kurkure,g,43.65,37.1,15,135
PR00016,Bingo Mixture 5pack,Snacks & Branded Foods,Mixture,Bingo,pack,49.51,49.51,0,237
PR00017,Haldiram's Nachos 1000pack,Snacks & Branded Foods,Nachos,Haldiram's,pack,728.01,,20,143
PR00018,Pampers Baby Lotion 250pack,Baby Care,Baby Lotion,Pampers,pack,661.85,661.85,0,209
PR00019,Britannia Paneer 500g,Dairy & Bakery,Paneer,Britannia,g,192.52,192.52,0,239
PR00020,Johnson's Diapers 2pack,Baby Care,Diapers,Johnson's,pack,131.12,111.45,15,355
PR00021,ITC Master Chef Chicken Nuggets 1000pack,Frozen Food,Chicken Nuggets,ITC Master Chef,pack,626.04,626.04,0,28
PR00022,Licious Prawns 500kg,Meat & Seafood,Prawns,Licious,kg,1536.38,1382.74,10,111
PR00023,Surf Excel Dishwash Gel 100ml,Household Care,Dishwash Gel,Surf Excel,ml,196.04,176.44,10,131
PR00024,Tata Tea Tea 1000ml,Beverages,Tea,Tata Tea,ml,1032.41,1032.41,0,49
PR00025,Pampers Baby Wipes 1ml,Baby Care,Baby Wipes,Pampers,ml,879.49,835.52,5,234
PR00026,India Gate Basmati Rice 100L,Staples & Grains,Basmati Rice,India Gate,L,651.14,618.58,5,210
PR00027,Organic Tomato 250pack,Fruits & Vegetables,Tomato,Organic,pack,597.97,597.97,0,154
PR00028,Fresh Carrot 10g,Fruits & Vegetables,Carrot,Fresh,g,424.79,382.31,10,171
PR00029,ITC Master Chef Chicken Nuggets 200g,Frozen Food,Chicken Nuggets,ITC Master Chef,g,625.12,562.61,10,324
PR00030,Dove Face Wash 5g,Personal Care,Face Wash,Dove,g,668.75,568.44,15,238
PR00031,Pedigree Cat Food 100kg,Pet Care,Cat Food,Pedigree,kg,1146.25,1088.94,5,313
PR00032,Nivea Toothpaste 500ml,Personal Care,Toothpaste,Nivea,ml,351.33,281.06,20,92
PR00033,Farm Tomato 250pack,Fruits & Vegetables,Tomato,Farm,pack,999.25,999.25,0,345
PR00034,Fresh To Home Mutton Curry Cut 200g,Meat & Seafood,Mutton Curry Cut,Fresh To Home,g,1647.93,1565.53,5,76
PR00035,Pepsi Mineral Water 500L,Beverages,Mineral Water,Pepsi,L,125.42,106.61,15,226
PR00036,Tata Sampann Sugar 200kg,Staples & Grains,Sugar,Tata Sampann,kg,356.23,284.98,20,269
PR00037,Britannia Bread 1pack,Dairy & Bakery,Bread,Britannia,pack,312.7,234.52,25,183
PR00038,Lays Namkeen 10g,Snacks & Branded Foods,Namkeen,Lays,g,896.56,762.08,15,331
PR00039,McCain Chicken Nuggets 100g,Frozen Food,Chicken Nuggets,McCain,g,280.13,238.11,15,215
PR00040,Pampers Diapers 2ml,Baby Care,Diapers,Pampers,ml,1781.75,1514.49,15,85
PR00041,Lays Namkeen 100pack,Snacks & Branded Foods,Namkeen,Lays,pack,1064.29,1064.29,0,296
PR00042,Organic Apple 100kg,Fruits & Vegetables,Apple,Organic,kg,462.05,415.84,10,232
PR00043,Camlin Notebook 1pack,Stationery & Books,Notebook,Camlin,pack,753.68,753.68,0,78
PR00044,Himalaya Baby Baby Shampoo 500pack,Baby Care,Baby Shampoo,Himalaya Baby,pack,277.66,222.13,20,196
PR00045,Cello Geometry Box 1000set,Stationery & Books,Geometry Box,Cello,set,715.5,715.5,0,226
PR00046,Cello Pen Set 1000pack,Stationery & Books,Pen Set,Cello,pack,954.88,668.42,30,32
PR00047,Himalaya Baby Baby Wipes 2pack,Baby Care,Baby Wipes,Himalaya Baby,pack,1215.01,1154.26,5,136
PR00048,Britannia Butter 5g,Dairy & Bakery,Butter,Britannia,g,631.85,631.85,0,347
PR00049,Dove Face Wash 2ml,Personal Care,Face Wash,Dove,ml,1072.44,750.71,30,275
PR00050,Camlin Geometry Box 2pack,Stationery & Books,Geometry Box,Camlin,pack,1175.33,1116.56,5,61
PR00051,Organic Spinach 1000pack,Fruits & Vegetables,Spinach,Organic,pack,967.66,822.51,15,354
PR00052,Harpic Detergent Powder 500kg,Household Care,Detergent Powder,Harpic,kg,872.71,785.44,10,280
PR00053,Farm Mango 1pack,Fruits & Vegetables,Mango,Farm,pack,560.59,476.5,15,37
PR00054,Haldiram's Nachos 750g,Snacks & Branded Foods,Nachos,Haldiram's,g,518.67,518.67,0,19
PR00055,ITC Master Chef Paratha 2g,Frozen Food,Paratha,ITC Master Chef,g,952.24,952.24,0,345
PR00056,McCain Paratha 5pack,Frozen Food,Paratha,McCain,pack,1084.34,1084.34,0,129
PR00057,Bingo Potato Chips 100g,Snacks & Branded Foods,Potato Chips,Bingo,g,913.1,684.82,25,144
PR00058,Fresh Potato 750g,Fruits & Vegetables,Potato,Fresh,g,576.67,547.84,5,201
PR00059,Farm Capsicum 1g,Fruits & Vegetables,Capsicum,Farm,g,1088.37,816.28,25,93
PR00060,Fresh To Home Mutton Curry Cut 10g,Meat & Seafood,Mutton Curry Cut,Fresh To Home,g,1656.76,1656.76,0,340
PR00061,ITC Master Chef French Fries 250g,Frozen Food,French Fries,ITC Master Chef,g,916.13,778.71,15,304
PR00062,Fortune Sugar 2kg,Staples & Grains,Sugar,Fortune,kg,357.34,357.34,0,364
PR00063,Mother Dairy Paneer 2L,Dairy & Bakery,Paneer,Mother Dairy,L,847.27,762.54,10,87
PR00064,Dove Body Lotion 100g,Personal Care,Body Lotion,Dove,g,536.64,429.31,20,190
PR00065,ITC Mixture 200pack,Snacks & Branded Foods,Mixture,ITC,pack,637.25,605.39,5,316
PR00066,Godrej Yummiez Chicken Nuggets 10g,Frozen Food,Chicken Nuggets,Godrej Yummiez,g,24.2,22.99,5,140
PR00067,Pedigree Dog Food 5g,Pet Care,Dog Food,Pedigree,g,407.77,407.77,0,16
PR00068,Fresh Capsicum 500kg,Fruits & Vegetables,Capsicum,Fresh,kg,662.19,595.97,10,191
PR00069,Farm Tomato 2pack,Fruits & Vegetables,Tomato,Farm,pack,821.63,616.22,25,113
PR00070,Organic Onion 250kg,Fruits & Vegetables,Onion,Organic,kg,784.83,784.83,0,268
PR00071,Nivea Face Wash 250g,Personal Care,Face Wash,Nivea,g,52.64,50.01,5,254
PR00072,Amul Bread 10pack,Dairy & Bakery,Bread,Amul,pack,129.39,129.39,0,180
PR00073,ITC Master Chef French Fries 10g,Frozen Food,French Fries,ITC Master Chef,g,41.51,37.36,10,115
PR00074,Himalaya Baby Diapers 1pack,Baby Care,Diapers,Himalaya Baby,pack,335.26,268.21,20,339
